ARO	AMR gene family	ARGs	Class	resistance mechanisms	Length
ARO:3001915	CTX-M beta-lactamase	CTX-M-53	cephalosporin	antibiotic inactivation	291
ARO:3001916	CTX-M beta-lactamase	CTX-M-54	cephalosporin	antibiotic inactivation	291
ARO:3001917	CTX-M beta-lactamase	CTX-M-55	cephalosporin	antibiotic inactivation	291
ARO:3001918	CTX-M beta-lactamase	CTX-M-56	cephalosporin	antibiotic inactivation	291
ARO:3001919	CTX-M beta-lactamase	CTX-M-58	cephalosporin	antibiotic inactivation	291
ARO:3001920	CTX-M beta-lactamase	CTX-M-59	cephalosporin	antibiotic inactivation	291
ARO:3001921	CTX-M beta-lactamase	CTX-M-60	cephalosporin	antibiotic inactivation	291
ARO:3001922	CTX-M beta-lactamase	CTX-M-61	cephalosporin	antibiotic inactivation	291
ARO:3001923	CTX-M beta-lactamase	CTX-M-62	cephalosporin	antibiotic inactivation	291
ARO:3001924	CTX-M beta-lactamase	CTX-M-63	cephalosporin	antibiotic inactivation	290
ARO:3001925	CTX-M beta-lactamase	CTX-M-64	cephalosporin	antibiotic inactivation	291
ARO:3001926	CTX-M beta-lactamase	CTX-M-65	cephalosporin	antibiotic inactivation	291
ARO:3001927	CTX-M beta-lactamase	CTX-M-66	cephalosporin	antibiotic inactivation	291
ARO:3001928	CTX-M beta-lactamase	CTX-M-67	cephalosporin	antibiotic inactivation	291
ARO:3001929	CTX-M beta-lactamase	CTX-M-68	cephalosporin	antibiotic inactivation	291
ARO:3001930	CTX-M beta-lactamase	CTX-M-69	cephalosporin	antibiotic inactivation	291
ARO:3001932	CTX-M beta-lactamase	CTX-M-71	cephalosporin	antibiotic inactivation	291
ARO:3001933	CTX-M beta-lactamase	CTX-M-72	cephalosporin	antibiotic inactivation	291
ARO:3001934	CTX-M beta-lactamase	CTX-M-73	cephalosporin	antibiotic inactivation	291
ARO:3001935	CTX-M beta-lactamase	CTX-M-74	cephalosporin	antibiotic inactivation	291
ARO:3001936	CTX-M beta-lactamase	CTX-M-75	cephalosporin	antibiotic inactivation	291
ARO:3001937	CTX-M beta-lactamase	CTX-M-76	cephalosporin	antibiotic inactivation	291
ARO:3001938	CTX-M beta-lactamase	CTX-M-77	cephalosporin	antibiotic inactivation	291
ARO:3001939	CTX-M beta-lactamase	CTX-M-78	cephalosporin	antibiotic inactivation	291
ARO:3001940	CTX-M beta-lactamase	CTX-M-79	cephalosporin	antibiotic inactivation	291
ARO:3001941	CTX-M beta-lactamase	CTX-M-80	cephalosporin	antibiotic inactivation	291
ARO:3001942	CTX-M beta-lactamase	CTX-M-81	cephalosporin	antibiotic inactivation	291
ARO:3001943	CTX-M beta-lactamase	CTX-M-82	cephalosporin	antibiotic inactivation	291
ARO:3001944	CTX-M beta-lactamase	CTX-M-83	cephalosporin	antibiotic inactivation	291
ARO:3001945	CTX-M beta-lactamase	CTX-M-84	cephalosporin	antibiotic inactivation	291
ARO:3001946	CTX-M beta-lactamase	CTX-M-86	cephalosporin	antibiotic inactivation	291
ARO:3001947	CTX-M beta-lactamase	CTX-M-87	cephalosporin	antibiotic inactivation	291
ARO:3001948	CTX-M beta-lactamase	CTX-M-88	cephalosporin	antibiotic inactivation	291
ARO:3001949	CTX-M beta-lactamase	CTX-M-89	cephalosporin	antibiotic inactivation	291
ARO:3001950	CTX-M beta-lactamase	CTX-M-90	cephalosporin	antibiotic inactivation	291
ARO:3001951	CTX-M beta-lactamase	CTX-M-91	cephalosporin	antibiotic inactivation	291
ARO:3001952	CTX-M beta-lactamase	CTX-M-92	cephalosporin	antibiotic inactivation	291
ARO:3001953	CTX-M beta-lactamase	CTX-M-93	cephalosporin	antibiotic inactivation	291
ARO:3001954	CTX-M beta-lactamase	CTX-M-94	cephalosporin	antibiotic inactivation	291
ARO:3001955	CTX-M beta-lactamase	CTX-M-95	cephalosporin	antibiotic inactivation	291
ARO:3001956	CTX-M beta-lactamase	CTX-M-96	cephalosporin	antibiotic inactivation	291
ARO:3001957	CTX-M beta-lactamase	CTX-M-98	cephalosporin	antibiotic inactivation	291
ARO:3001958	CTX-M beta-lactamase	CTX-M-99	cephalosporin	antibiotic inactivation	291
ARO:3001959	CTX-M beta-lactamase	CTX-M-100	cephalosporin	antibiotic inactivation	291
ARO:3001960	CTX-M beta-lactamase	CTX-M-101	cephalosporin	antibiotic inactivation	291
ARO:3001961	CTX-M beta-lactamase	CTX-M-102	cephalosporin	antibiotic inactivation	291
ARO:3001962	CTX-M beta-lactamase	CTX-M-103	cephalosporin	antibiotic inactivation	291
ARO:3001963	CTX-M beta-lactamase	CTX-M-104	cephalosporin	antibiotic inactivation	291
ARO:3001965	CTX-M beta-lactamase	CTX-M-105	cephalosporin	antibiotic inactivation	291
ARO:3001966	CTX-M beta-lactamase	CTX-M-106	cephalosporin	antibiotic inactivation	290
ARO:3001967	CTX-M beta-lactamase	CTX-M-107	cephalosporin	antibiotic inactivation	287
ARO:3001968	CTX-M beta-lactamase	CTX-M-108	cephalosporin	antibiotic inactivation	287
ARO:3001969	CTX-M beta-lactamase	CTX-M-109	cephalosporin	antibiotic inactivation	288
ARO:3001970	CTX-M beta-lactamase	CTX-M-110	cephalosporin	antibiotic inactivation	292
ARO:3001971	CTX-M beta-lactamase	CTX-M-111	cephalosporin	antibiotic inactivation	291
ARO:3001972	CTX-M beta-lactamase	CTX-M-112	cephalosporin	antibiotic inactivation	291
ARO:3001973	CTX-M beta-lactamase	CTX-M-113	cephalosporin	antibiotic inactivation	291
ARO:3001974	CTX-M beta-lactamase	CTX-M-114	cephalosporin	antibiotic inactivation	291
ARO:3001975	CTX-M beta-lactamase	CTX-M-115	cephalosporin	antibiotic inactivation	291
ARO:3001976	CTX-M beta-lactamase	CTX-M-116	cephalosporin	antibiotic inactivation	291
ARO:3001977	CTX-M beta-lactamase	CTX-M-117	cephalosporin	antibiotic inactivation	291
ARO:3001980	CTX-M beta-lactamase	CTX-M-121	cephalosporin	antibiotic inactivation	291
ARO:3001981	CTX-M beta-lactamase	CTX-M-122	cephalosporin	antibiotic inactivation	291
ARO:3001982	CTX-M beta-lactamase	CTX-M-123	cephalosporin	antibiotic inactivation	291
ARO:3001983	CTX-M beta-lactamase	CTX-M-124	cephalosporin	antibiotic inactivation	291
ARO:3001984	CTX-M beta-lactamase	CTX-M-125	cephalosporin	antibiotic inactivation	291
ARO:3001985	CTX-M beta-lactamase	CTX-M-126	cephalosporin	antibiotic inactivation	291
ARO:3001986	CTX-M beta-lactamase	CTX-M-127	cephalosporin	antibiotic inactivation	291
ARO:3001988	CTX-M beta-lactamase	CTX-M-129	cephalosporin	antibiotic inactivation	291
ARO:3001989	CTX-M beta-lactamase	CTX-M-130	cephalosporin	antibiotic inactivation	291
ARO:3001990	CTX-M beta-lactamase	CTX-M-131	cephalosporin	antibiotic inactivation	291
ARO:3001991	CTX-M beta-lactamase	CTX-M-132	cephalosporin	antibiotic inactivation	291
ARO:3001992	CTX-M beta-lactamase	CTX-M-134	cephalosporin	antibiotic inactivation	291
ARO:3001994	CTX-M beta-lactamase	CTX-M-137	cephalosporin	antibiotic inactivation	291
ARO:3001995	CTX-M beta-lactamase	CTX-M-136	cephalosporin	antibiotic inactivation	291
ARO:3001996	CTX-M beta-lactamase	CTX-M-138	cephalosporin	antibiotic inactivation	291
ARO:3001997	CTX-M beta-lactamase	CTX-M-139	cephalosporin	antibiotic inactivation	291
ARO:3001998	CTX-M beta-lactamase	CTX-M-140	cephalosporin	antibiotic inactivation	291
ARO:3001999	CTX-M beta-lactamase	CTX-M-141	cephalosporin	antibiotic inactivation	291
ARO:3002000	CTX-M beta-lactamase	CTX-M-142	cephalosporin	antibiotic inactivation	291
ARO:3002001	CTX-M beta-lactamase	CTX-M-143	cephalosporin	antibiotic inactivation	291
ARO:3002002	CTX-M beta-lactamase	CTX-M-144	cephalosporin	antibiotic inactivation	291
ARO:3002004	CTX-M beta-lactamase	CTX-M-146	cephalosporin	antibiotic inactivation	291
ARO:3002005	CTX-M beta-lactamase	CTX-M-147	cephalosporin	antibiotic inactivation	291
ARO:3002006	CTX-M beta-lactamase	CTX-M-148	cephalosporin	antibiotic inactivation	291
ARO:3002007	CTX-M beta-lactamase	CTX-M-150	cephalosporin	antibiotic inactivation	291
ARO:3002008	CTX-M beta-lactamase	CTX-M-151	cephalosporin	antibiotic inactivation	304
ARO:3002009	CTX-M beta-lactamase	CTX-M-152	cephalosporin	antibiotic inactivation	290
ARO:3002010	CTX-M beta-lactamase	CTX-M-153	cephalosporin	antibiotic inactivation	291
ARO:3002011	CTX-M beta-lactamase	CTX-M-154	cephalosporin	antibiotic inactivation	291
ARO:3002012	CMY beta-lactamase	CMY-1	cephamycin	antibiotic inactivation	382
ARO:3002013	CMY beta-lactamase	CMY-2	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3002015	CMY beta-lactamase	CMY-4	cephamycin	antibiotic inactivation	381
ARO:3002016	CMY beta-lactamase	CMY-5	cephamycin	antibiotic inactivation	381
ARO:3002017	CMY beta-lactamase	CMY-6	cephamycin	antibiotic inactivation	381
ARO:3002018	CMY beta-lactamase	CMY-7	cephamycin	antibiotic inactivation	381
ARO:3002019	CMY beta-lactamase	CMY-8	cephamycin	antibiotic inactivation	382
ARO:3002020	CMY beta-lactamase	CMY-9	cephamycin	antibiotic inactivation	382
ARO:3002021	CMY beta-lactamase	CMY-10	cephamycin	antibiotic inactivation	382
ARO:3002022	CMY beta-lactamase	CMY-11	cephamycin	antibiotic inactivation	382
ARO:3002023	CMY beta-lactamase	CMY-12	cephamycin	antibiotic inactivation	381
ARO:3002024	CMY beta-lactamase	CMY-13	cephamycin	antibiotic inactivation	381
ARO:3002025	CMY beta-lactamase	CMY-14	cephamycin	antibiotic inactivation	381
ARO:3002026	CMY beta-lactamase	CMY-15	cephamycin	antibiotic inactivation	381
ARO:3002027	CMY beta-lactamase	CMY-16	cephamycin	antibiotic inactivation	381
ARO:3002028	CMY beta-lactamase	CMY-17	cephamycin	antibiotic inactivation	381
ARO:3002029	CMY beta-lactamase	CMY-18	cephamycin	antibiotic inactivation	383
ARO:3002030	CMY beta-lactamase	CMY-19	cephamycin	antibiotic inactivation	382
ARO:3002031	CMY beta-lactamase	CMY-20	cephamycin	antibiotic inactivation	380
ARO:3002032	CMY beta-lactamase	CMY-21	cephamycin	antibiotic inactivation	381
ARO:3002033	CMY beta-lactamase	CMY-22	cephamycin	antibiotic inactivation	381
ARO:3002034	CMY beta-lactamase	CMY-23	cephamycin	antibiotic inactivation	381
ARO:3002035	CMY beta-lactamase	CMY-24	cephamycin	antibiotic inactivation	381
ARO:3002036	CMY beta-lactamase	CMY-25	cephamycin	antibiotic inactivation	381
ARO:3002037	CMY beta-lactamase	CMY-26	cephamycin	antibiotic inactivation	381
ARO:3002038	CMY beta-lactamase	CMY-27	cephamycin	antibiotic inactivation	381
ARO:3002039	CMY beta-lactamase	CMY-28	cephamycin	antibiotic inactivation	381
ARO:3002040	CMY beta-lactamase	CMY-29	cephamycin	antibiotic inactivation	381
ARO:3002041	CMY beta-lactamase	CMY-30	cephamycin	antibiotic inactivation	381
ARO:3002042	CMY beta-lactamase	CMY-31	cephamycin	antibiotic inactivation	381
ARO:3002043	CMY beta-lactamase	CMY-32	cephamycin	antibiotic inactivation	381
ARO:3002044	CMY beta-lactamase	CMY-33	cephamycin	antibiotic inactivation	379
ARO:3002045	CMY beta-lactamase	CMY-34	cephamycin	antibiotic inactivation	381
ARO:3002046	CMY beta-lactamase	CMY-35	cephamycin	antibiotic inactivation	381
ARO:3002047	CMY beta-lactamase	CMY-36	cephamycin	antibiotic inactivation	381
ARO:3002048	CMY beta-lactamase	CMY-37	cephamycin	antibiotic inactivation	381
ARO:3002049	CMY beta-lactamase	CMY-38	cephamycin	antibiotic inactivation	381
ARO:3002050	CMY beta-lactamase	CMY-39	cephamycin	antibiotic inactivation	381
ARO:3002051	CMY beta-lactamase	CMY-40	cephamycin	antibiotic inactivation	381
ARO:3002052	CMY beta-lactamase	CMY-41	cephamycin	antibiotic inactivation	381
ARO:3002053	CMY beta-lactamase	CMY-42	cephalosporin;cephamycin	antibiotic inactivation	381
ARO:3002054	CMY beta-lactamase	CMY-43	cephamycin	antibiotic inactivation	381
ARO:3002055	CMY beta-lactamase	CMY-44	cephamycin	antibiotic inactivation	377
ARO:3002056	CMY beta-lactamase	CMY-45	cephamycin	antibiotic inactivation	381
ARO:3002057	CMY beta-lactamase	CMY-46	cephamycin	antibiotic inactivation	381
ARO:3002058	CMY beta-lactamase	CMY-47	cephamycin	antibiotic inactivation	381
ARO:3002059	CMY beta-lactamase	CMY-48	cephamycin	antibiotic inactivation	381
ARO:3002060	CMY beta-lactamase	CMY-49	cephamycin	antibiotic inactivation	381
ARO:3002061	CMY beta-lactamase	CMY-50	cephamycin	antibiotic inactivation	381
ARO:3002062	CMY beta-lactamase	CMY-51	cephamycin	antibiotic inactivation	381
ARO:3002064	CMY beta-lactamase	CMY-53	cephamycin	antibiotic inactivation	381
ARO:3002065	CMY beta-lactamase	CMY-54	cephamycin	antibiotic inactivation	383
ARO:3002066	CMY beta-lactamase	CMY-55	cephamycin	antibiotic inactivation	381
ARO:3002067	CMY beta-lactamase	CMY-56	cephamycin	antibiotic inactivation	381
ARO:3002068	CMY beta-lactamase	CMY-57	cephamycin	antibiotic inactivation	381
ARO:3002069	CMY beta-lactamase	CMY-59	cephamycin	antibiotic inactivation	395
ARO:3002070	CMY beta-lactamase	CMY-99	cephamycin	antibiotic inactivation	381
ARO:3002071	CMY beta-lactamase	CMY-110	cephamycin	antibiotic inactivation	381
ARO:3002072	CMY beta-lactamase	CMY-58	cephamycin	antibiotic inactivation	381
ARO:3002073	CMY beta-lactamase	CMY-60	cephamycin	antibiotic inactivation	381
ARO:3002074	CMY beta-lactamase	CMY-61	cephamycin	antibiotic inactivation	380
ARO:3002075	CMY beta-lactamase	CMY-62	cephamycin	antibiotic inactivation	381
ARO:3002076	CMY beta-lactamase	CMY-63	cephamycin	antibiotic inactivation	381
ARO:3002077	CMY beta-lactamase	CMY-64	cephamycin	antibiotic inactivation	381
ARO:3002078	CMY beta-lactamase	CMY-65	cephamycin	antibiotic inactivation	381
ARO:3002079	CMY beta-lactamase	CMY-66	cephamycin	antibiotic inactivation	381
ARO:3002080	CMY beta-lactamase	CMY-67	cephamycin	antibiotic inactivation	381
ARO:3002081	CMY beta-lactamase	CMY-68	cephamycin	antibiotic inactivation	381
ARO:3002082	CMY beta-lactamase	CMY-69	cephamycin	antibiotic inactivation	381
ARO:3002083	CMY beta-lactamase	CMY-70	cephamycin	antibiotic inactivation	381
ARO:3002084	CMY beta-lactamase	CMY-71	cephamycin	antibiotic inactivation	381
ARO:3002085	CMY beta-lactamase	CMY-72	cephamycin	antibiotic inactivation	381
ARO:3002086	CMY beta-lactamase	CMY-73	cephamycin	antibiotic inactivation	381
ARO:3002087	CMY beta-lactamase	CMY-74	cephamycin	antibiotic inactivation	381
ARO:3002088	CMY beta-lactamase	CMY-75	cephamycin	antibiotic inactivation	381
ARO:3002089	CMY beta-lactamase	CMY-76	cephamycin	antibiotic inactivation	381
ARO:3002090	CMY beta-lactamase	CMY-77	cephamycin	antibiotic inactivation	381
ARO:3002091	CMY beta-lactamase	CMY-78	cephamycin	antibiotic inactivation	381
ARO:3002092	CMY beta-lactamase	CMY-79	cephamycin	antibiotic inactivation	381
ARO:3002093	CMY beta-lactamase	CMY-80	cephamycin	antibiotic inactivation	381
ARO:3002094	CMY beta-lactamase	CMY-81	cephamycin	antibiotic inactivation	381
ARO:3002095	CMY beta-lactamase	CMY-82	cephamycin	antibiotic inactivation	381
ARO:3002096	CMY beta-lactamase	CMY-83	cephamycin	antibiotic inactivation	381
ARO:3002097	CMY beta-lactamase	CMY-84	cephamycin	antibiotic inactivation	381
ARO:3002098	CMY beta-lactamase	CMY-85	cephamycin	antibiotic inactivation	381
ARO:3002099	CMY beta-lactamase	CMY-86	cephamycin	antibiotic inactivation	381
ARO:3002100	CMY beta-lactamase	CMY-87	cephamycin	antibiotic inactivation	381
ARO:3002102	CMY beta-lactamase	CMY-89	cephamycin	antibiotic inactivation	381
ARO:3002103	CMY beta-lactamase	CMY-90	cephamycin	antibiotic inactivation	381
ARO:3002106	CMY beta-lactamase	CMY-93	cephamycin	antibiotic inactivation	381
ARO:3002107	CMY beta-lactamase	CMY-94	cephamycin	antibiotic inactivation	381
ARO:3002108	CMY beta-lactamase	CMY-95	cephamycin	antibiotic inactivation	381
ARO:3002109	CMY beta-lactamase	CMY-96	cephamycin	antibiotic inactivation	381
ARO:3002110	CMY beta-lactamase	CMY-97	cephamycin	antibiotic inactivation	381
ARO:3002111	CMY beta-lactamase	CMY-98	cephamycin	antibiotic inactivation	376
ARO:3002112	CMY beta-lactamase	CMY-100	cephamycin	antibiotic inactivation	381
ARO:3002113	CMY beta-lactamase	CMY-101	cephamycin	antibiotic inactivation	381
ARO:3002114	CMY beta-lactamase	CMY-102	cephamycin	antibiotic inactivation	381
ARO:3002115	CMY beta-lactamase	CMY-103	cephamycin	antibiotic inactivation	381
ARO:3002116	CMY beta-lactamase	CMY-104	cephamycin	antibiotic inactivation	381
ARO:3002117	CMY beta-lactamase	CMY-105	cephamycin	antibiotic inactivation	381
ARO:3002118	CMY beta-lactamase	CMY-106	cephamycin	antibiotic inactivation	381
ARO:3002119	CMY beta-lactamase	CMY-107	cephamycin	antibiotic inactivation	381
ARO:3002120	CMY beta-lactamase	CMY-108	cephamycin	antibiotic inactivation	381
ARO:3002121	CMY beta-lactamase	CMY-109	cephamycin	antibiotic inactivation	381
ARO:3002122	CMY beta-lactamase	CMY-111	cephamycin	antibiotic inactivation	381
ARO:3002123	CMY beta-lactamase	CMY-112	cephamycin	antibiotic inactivation	381
ARO:3002124	CMY beta-lactamase	CMY-113	cephamycin	antibiotic inactivation	381
ARO:3002125	CMY beta-lactamase	CMY-114	cephamycin	antibiotic inactivation	381
ARO:3002126	CMY beta-lactamase	CMY-115	cephamycin	antibiotic inactivation	381
ARO:3002127	CMY beta-lactamase	CMY-116	cephamycin	antibiotic inactivation	381
ARO:3002128	CMY beta-lactamase	CMY-117	cephamycin	antibiotic inactivation	381
ARO:3002129	CMY beta-lactamase	CMY-118	cephamycin	antibiotic inactivation	381
ARO:3002130	CMY beta-lactamase	CMY-119	cephamycin	antibiotic inactivation	381
ARO:3002132	DHA beta-lactamase	DHA-1	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002133	DHA beta-lactamase	DHA-2	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002134	DHA beta-lactamase	DHA-3	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002135	DHA beta-lactamase	DHA-6	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002136	DHA beta-lactamase	DHA-7	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002137	DHA beta-lactamase	DHA-4	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002138	DHA beta-lactamase	DHA-5	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002140	DHA beta-lactamase	DHA-9	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002141	DHA beta-lactamase	DHA-10	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002143	DHA beta-lactamase	DHA-12	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002144	DHA beta-lactamase	DHA-13	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002145	DHA beta-lactamase	DHA-14	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002146	DHA beta-lactamase	DHA-15	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002147	DHA beta-lactamase	DHA-16	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002148	DHA beta-lactamase	DHA-17	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002149	DHA beta-lactamase	DHA-18	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002150	DHA beta-lactamase	DHA-19	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002151	DHA beta-lactamase	DHA-20	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002152	DHA beta-lactamase	DHA-21	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002153	DHA beta-lactamase	DHA-22	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002154	DHA beta-lactamase	DHA-23	cephalosporin;cephamycin	antibiotic inactivation	379
ARO:3002155	FOX beta-lactamase	FOX-1	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002156	FOX beta-lactamase	FOX-2	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002157	FOX beta-lactamase	FOX-3	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002158	FOX beta-lactamase	FOX-4	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002159	FOX beta-lactamase	FOX-5	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002160	FOX beta-lactamase	FOX-7	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002161	FOX beta-lactamase	FOX-8	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002162	FOX beta-lactamase	FOX-10	cephalosporin;cephamycin	antibiotic inactivation	382
ARO:3002163	FOX beta-lactamase	FOX-9	cephalosporin;cephamycin	antibiotic inactivation	382
